,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
0,USED,2023,FORD,MAVERICK,XLT,38988,Hot Pepper Red Tinted Clearcoat,Navy Pier,Front-wheel Drive,Hybrid,20,"4328 Louisburg Rd Raleigh, NC 27604",2023-06-10,http://cars.com///vehicledetail/a9480f4c-2254-45a2-8897-01e97065a8d5/,cars.com
1,USED,2022,FORD,MAVERICK,XLT,37495,Oxford White,Navy Pier,All-wheel Drive,Gasoline,14775,"4900 Capital Blvd Raleigh, NC 27616",2023-06-10,http://cars.com///vehicledetail/1d6f012f-799e-42d1-8b04-44ee5144d90d/,cars.com
2,USED,2022,FORD,MAVERICK,XLT,37975,Oxford White,Navy Pier,All-wheel Drive,Gasoline,8773,"4900 Capital Blvd Raleigh, NC 27616",2023-06-10,http://cars.com///vehicledetail/56a144e7-a837-40a4-95da-b8cf40519bea/,cars.com
3,USED,2022,FORD,MAVERICK,XLT,34988,Area 51,Navy Pier,Front-wheel Drive,Hybrid,24125,"2350 Capital Summit Ct Raleigh, NC 27616",2023-06-10,http://cars.com///vehicledetail/af1b0ea9-ec06-46bd-8a7e-6166235ba7ab/,cars.com
4,USED,2022,FORD,MAVERICK,XLT,35000,Silver,Black Onyx,Front-wheel Drive,Gasoline,18425,"9820 Capital Blvd Wake Forest, NC 27587",2023-06-10,http://cars.com///vehicledetail/5ff372f4-b416-4320-9946-41b439ba524c/,cars.com
5,USED,2022,FORD,MAVERICK,XLT,34800,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,9691,"9209 Glenwood Ave Raleigh, NC 27617",2023-06-10,http://cars.com///vehicledetail/3ed80a2d-b04a-4073-95ef-f0c111b2729a/,cars.com
6,USED,2022,FORD,MAVERICK,XLT,35998,Black,Gray,FWD,Hybrid,13359,"3801 Bonney Rd Virginia Beach, VA 23452",2023-06-10,http://cars.com///vehicledetail/30389f2d-6842-487d-b318-5683d2a324d3/,cars.com
7,USED,2023,FORD,MAVERICK,LARIAT,43900,Oxford White,Desert,Front-wheel Drive,Hybrid,54,"3990 W Highway 501 Conway, SC 29526",2023-06-10,http://cars.com///vehicledetail/b0c94a19-94b7-4f8a-a5e9-faf88dbf8efb/,cars.com
8,USED,2022,FORD,MAVERICK,XLT,33932,Carbonized Gray Metallic,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,4281,"602 Alamance Rd Burlington, NC 27215",2023-06-10,http://cars.com///vehicledetail/3585407a-c02c-469e-bb08-0a930b245666/,cars.com
9,USED,2022,FORD,MAVERICK,XLT,35500,Oxford White,Navy Pier / Medium Slate,Front-wheel Drive,Gasoline,25924,"602 Alamance Rd Burlington, NC 27215",2023-06-10,http://cars.com///vehicledetail/a6668fee-cac9-45b3-9882-da1b9767c223/,cars.com
10,USED,2022,FORD,MAVERICK,XLT,35950,Iconic Silver Metallic,Navy Pier,All-wheel Drive,Gasoline,33970,"912 S Van Buren Rd Eden, NC 27288",2023-06-10,http://cars.com///vehicledetail/76df3680-c2fc-4d73-b3a8-0b8a47b989e3/,cars.com
11,USED,2022,FORD,MAVERICK,LARIAT,40506,Chili Pepper Red,Desert,All-wheel Drive,Gasoline,6801,"900 NC-66 Kernersville, NC 27284",2023-06-10,http://cars.com///vehicledetail/88a01119-38ed-41d8-8e12-ff1cbf6769ab/,cars.com
12,USED,2022,FORD,MAVERICK,LARIAT,43600,Velocity Blue Metallic,Desert,All-wheel Drive,Gasoline,1500,"11450 Washington Hwy Ashland, VA 23005",2023-06-10,http://cars.com///vehicledetail/b7ab8a14-204e-4d3f-b57b-ce4b5438df61/,cars.com
13,USED,2023,FORD,MAVERICK,XLT,36900,White,Navy Pier,All-wheel Drive,Gasoline,381,"418 Piedmont Dr Lexington, NC 27295",2023-06-10,http://cars.com///vehicledetail/48dd2e03-d461-4d12-820e-75e84ca9c35a/,cars.com
14,CERTIFIED,2022,FORD,MAVERICK,XLT,34812,ALTO BLUE METALLIC TC,NAVY PIER -MED SLATE TRIM,–,–,6611,"1163 Wards Road, Suite A Altavista, VA 24517",2023-06-10,http://cars.com///vehicledetail/b7d963ad-4b83-4a8d-8a74-0a821dcfa9a0/,cars.com
15,USED,2022,FORD,MAVERICK,XL,35599,Alto Blue Tinted Clearcoat Metallic,Black Onyx/Medium Dark Slate,All-wheel Drive,Gasoline,3016,"2600 Peters Creek Parkway Winston Salem, NC 27127",2023-06-10,http://cars.com///vehicledetail/adb7fd18-f3ca-4698-9a9b-d43f6cd43c0c/,cars.com
16,CERTIFIED,2022,FORD,MAVERICK,XLT,38494,Chili Pepper Red,Navy Pier,All-wheel Drive,Gasoline,8838,"2104 Peters Creek Winston Salem, NC 27127",2023-06-10,http://cars.com///vehicledetail/caae00d1-5491-473a-8293-be67b1f118a4/,cars.com
17,USED,2022,FORD,MAVERICK,FOR,,SV,Brown,All-wheel Drive,Gasoline,50360,"2829 US-52  Moncks Corner, SC 29461",2023-06-10,http://cars.com///vehicledetail/3aa8882e-ad0b-4d8c-a734-d2ae735bdde3/,cars.com
18,USED,2022,FORD,MAVERICK,LARIAT,37999,Oxford White,Desert,All-wheel Drive,Gasoline,15000,"979 N U.S. 1 Lugoff, SC 29078",2023-06-10,http://cars.com///vehicledetail/ca6f2239-c240-47d7-a09d-b0648196e41d/,cars.com
