,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
7086,USED,2022,FORD,MAVERICK,XLT,34495.0,Blue,Navy Pier,Front-wheel Drive,Hybrid,14506.0,"19010 Northwest Freeway Houston, TX 77065",2023-05-23,http://cars.com///vehicledetail/9962075e-1827-42e1-b7d8-5c5c4457c180/,cars.com
7087,USED,2022,FORD,MAVERICK,XLT,34995.0,Shadow Black,Navy Pier/Medium Slate,All-wheel Drive,–,20720.0,"11415 Spell Road Tomball, TX 77375",2023-05-23,http://cars.com///vehicledetail/61874d48-f72e-4ea9-93b8-4f827ae7ae70/,cars.com
7088,USED,2022,FORD,MAVERICK,XLT,35873.0,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,21545.0,"9640 TX-121 Frisco, TX 75035",2023-05-23,http://cars.com///vehicledetail/e5d4d75b-ca62-46b9-85d9-20bc02c7e2f7/,cars.com
7089,USED,2022,FORD,MAVERICK,XLT,32998.0,Blue,Gray,FWD,Gasoline,14866.0,"12715 LBJ Freeway Garland, TX 75041",2023-05-23,http://cars.com///vehicledetail/9dce2e8a-8388-47d8-ae77-eed35fcd3f8d/,cars.com
7090,USED,2023,FORD,MAVERICK,XLT,36200.0,Gray,–,Front-wheel Drive,Gasoline,2053.0,"18411 Lyndon B Johnson Fwy Mesquite, TX 75150",2023-05-23,http://cars.com///vehicledetail/f4f65689-5d9f-48f0-9007-cc81ed68b6f4/,cars.com
7091,USED,2023,FORD,MAVERICK,XLT,39998.0,Gray,Gray,Front-wheel Drive,Hybrid,957.0,"10221 E Kellogg Ave Wichita, KS 67207",2023-05-23,http://cars.com///vehicledetail/a58e23ac-f5a3-4558-a557-df47c4bab594/,cars.com
7092,USED,2023,FORD,MAVERICK,XLT,40971.0,Area 51,Navy Pier,All-wheel Drive,Gasoline,135.0,"16634 Northwest Fwy Houston, TX 77040",2023-05-23,http://cars.com///vehicledetail/c393dbe1-65bb-4856-8dbb-1d13fcfef517/,cars.com
7093,USED,2023,FORD,MAVERICK,XLT,35994.0,Black,Black Onyx,Front-wheel Drive,Hybrid,295.0,"11711 Katy Fwy Houston, TX 77079",2023-05-23,http://cars.com///vehicledetail/53f89566-924d-4865-a380-e5b96b8281c7/,cars.com
7094,USED,2023,FORD,MAVERICK,LARIAT,39695.0,Carbonized Gray Metallic,Desert,Front-wheel Drive,Hybrid,2323.0,"11711 Katy Fwy Houston, TX 77079",2023-05-23,http://cars.com///vehicledetail/61c74449-5836-4101-8911-1453d0783e77/,cars.com
7095,USED,2022,FORD,MAVERICK,XLT,33890.0,Area 51,Navy Pier,Front-wheel Drive,Hybrid,19007.0,"9400 Southwest Fwy Houston, TX 77074",2023-05-23,http://cars.com///vehicledetail/372f33df-46cc-4cce-b0da-29d538fa613f/,cars.com
7096,USED,2023,FORD,MAVERICK,XL,34989.0,Silver Gray,Gray,Front-wheel Drive,Gasoline,146.0,"6850 TX-121 Frisco, TX 75034",2023-05-23,http://cars.com///vehicledetail/138f215a-31b6-4b60-9eee-ad331f969de1/,cars.com
7097,USED,2023,FORD,MAVERICK,LARIAT,42950.0,Carbonized Gray Metallic,Black Onyx,All-wheel Drive,Gasoline,673.0,"18411 Lyndon B Johnson Fwy Mesquite, TX 75150",2023-05-23,http://cars.com///vehicledetail/fb3e7f03-5d8b-42d5-963f-f977b90d2cf0/,cars.com
7098,USED,2023,FORD,MAVERICK,XLT,38999.0,Carbonized Gray Metallic,Navy Pier,All-wheel Drive,Gasoline,191.0,"10220 TX-121 Frisco, TX 75035",2023-05-23,http://cars.com///vehicledetail/cf3dd149-1a32-4be7-a5be-10b4a2c10a8b/,cars.com
7099,USED,2023,FORD,MAVERICK,XL,34990.0,Iconic Silver,Black Onyx,Front-wheel Drive,Hybrid,1201.0,"2200 West University Drive Prosper, TX 75078",2023-05-23,http://cars.com///vehicledetail/6aacc414-2ced-4b88-a337-757cb4dc9e88/,cars.com
7100,USED,2023,FORD,MAVERICK,XLT,37991.0,Gray,Black Onyx,All-wheel Drive,Gasoline,2133.0,"11711 Katy Fwy Houston, TX 77079",2023-05-23,http://cars.com///vehicledetail/e1cab636-1ee4-40c0-9018-515e23c55a3e/,cars.com
7101,USED,2022,FORD,MAVERICK,XL,34289.0,Iconic Silver Metallic,Black Onyx,All-wheel Drive,Gasoline,8122.0,"910 S Bell Blvd Cedar Park, TX 78613",2023-05-23,http://cars.com///vehicledetail/d321c303-42c1-4b01-ba67-41e83cc0ab30/,cars.com
7102,USED,2022,FORD,MAVERICK,XLT,37652.0,Velocity Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,13797.0,"6455 S 108th St Franklin, WI 53132",2023-05-23,http://cars.com///vehicledetail/fa94f610-bf26-4ae0-bbeb-925332ceb087/,cars.com
7103,USED,2023,FORD,MAVERICK,XLT,40982.0,Atlas Blue Metallic,Navy Pier,Front-wheel Drive,Hybrid,74.0,"6455 S 108th St Franklin, WI 53132",2023-05-23,http://cars.com///vehicledetail/12f444bf-619e-4b0d-8f20-5d79b514e477/,cars.com
7104,USED,2022,FORD,MAVERICK,XLT,35400.0,White,Navy Pier,Front-wheel Drive,Gasoline,7943.0,"W 2542 Interchange North Lake Geneva, WI 53147",2023-05-23,http://cars.com///vehicledetail/c84f4145-6c77-4346-8bd2-f8dac1c6d674/,cars.com
7105,USED,2023,FORD,MAVERICK,XL,34499.0,Carbonized Gray Metallic,Black,Front-wheel Drive,Hybrid,50.0,"5201 Grisham Dr Rowlett, TX 75088",2023-05-23,http://cars.com///vehicledetail/cd2aeaf9-683e-4226-b799-46d09f12d1b6/,cars.com
7106,USED,2023,FORD,MAVERICK,XLT,38991.0,Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,4012.0,"5600 183A Cedar Park, TX 78641",2023-05-23,http://cars.com///vehicledetail/41cfbb47-a6fd-4a3e-bb78-044c6953f97e/,cars.com
7107,USED,2023,FORD,MAVERICK,XLT,42800.0,Oxford White,–,Front-wheel Drive,Gasoline,1639.0,"219 Woodgate Drive South Brandon, MS 39042",2023-05-23,http://cars.com///vehicledetail/61262eb6-3a0a-4b19-a4ef-5857eb4bb91f/,cars.com
