,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
208,CERTIFIED,2022,FORD,MAVERICK,LARIAT,39995,Area 51,Desert,Front-wheel Drive,Hybrid,12476,"2600 Access Rd NW Davenport, FL 33897",2023-06-04,http://cars.com///vehicledetail/dc5f529b-c7cf-4859-b376-b8469d1903f8/,cars.com
209,CERTIFIED,2022,FORD,MAVERICK,XLT,34800,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Gasoline,1625,"2600 Access Rd NW Davenport, FL 33897",2023-06-04,http://cars.com///vehicledetail/ebcfbb02-6b93-4954-b572-b05a43c71624/,cars.com
210,USED,2023,FORD,MAVERICK,XLT,37441,Iconic Silver Metallic,Navy Pier,Front-wheel Drive,Hybrid,20,"2600 Access Rd NW Davenport, FL 33897",2023-06-04,http://cars.com///vehicledetail/ac169434-186b-4eb1-a06e-60b974daac6e/,cars.com
211,USED,2023,FORD,MAVERICK,XLT,37441,Iconic Silver Metallic,Navy Pier,Front-wheel Drive,Hybrid,18,"2600 Access Rd NW Davenport, FL 33897",2023-06-04,http://cars.com///vehicledetail/5873e882-6d9c-4eb6-bbe9-a4f6c0ee5b73/,cars.com
212,USED,2023,FORD,MAVERICK,LARIAT,41997,Atlas Blue Metallic,Desert,All-wheel Drive,Gasoline,33,"2600 Access Rd NW Davenport, FL 33897",2023-06-04,http://cars.com///vehicledetail/9fbfeaec-2e19-4115-81b9-8d98c3909cdf/,cars.com
213,USED,2023,FORD,MAVERICK,XL,35216,Area 51,Black Onyx,FWD,Hybrid,39,"2600 Access Rd NW Davenport, FL 33897",2023-06-04,http://cars.com///vehicledetail/034dd888-33b3-4e15-98a4-256464907726/,cars.com
214,USED,2022,FORD,MAVERICK,XLT,36983,White,Navy Pier,All-wheel Drive,Gasoline,14942,"1550 NW Broad St Murfreesboro, TN 37129",2023-06-04,http://cars.com///vehicledetail/cb02e55f-43c0-4297-ae4d-e06116fc73a9/,cars.com
215,USED,2023,FORD,MAVERICK,XLT,39764,Black,Navy Pier,Front-wheel Drive,Hybrid,491,"1550 NW Broad St Murfreesboro, TN 37129",2023-06-04,http://cars.com///vehicledetail/00547a4e-18b1-4a71-a91b-4804f60a9396/,cars.com
216,USED,2023,FORD,MAVERICK,XLT,40288,Gray,Navy Pier,All-wheel Drive,Gasoline,541,"1550 NW Broad St Murfreesboro, TN 37129",2023-06-04,http://cars.com///vehicledetail/078e1fc7-391b-462d-98ba-e625a6320a6d/,cars.com
217,USED,2022,FORD,MAVERICK,LARIAT,42980,Area 51,Desert,All-wheel Drive,Gasoline,3130,"809 S 5th St Louisville, KY 40203",2023-06-04,http://cars.com///vehicledetail/ae272f53-dd69-4141-8777-e6c116bc89f7/,cars.com
218,USED,2023,FORD,MAVERICK,LARIAT,46980,Alto Blue Metallic Tinted Clearcoat,Desert,All-wheel Drive,Gasoline,1296,"809 S 5th St Louisville, KY 40203",2023-06-04,http://cars.com///vehicledetail/da2a6e57-871a-4625-9008-0e2911dfd3a6/,cars.com
219,USED,2022,FORD,MAVERICK,XL,34980,Area 51,Black Onyx,All-wheel Drive,Gasoline,4954,"809 S 5th St Louisville, KY 40203",2023-06-04,http://cars.com///vehicledetail/88a31ab2-d73c-45c5-9b70-6ffaf0f523c2/,cars.com
220,USED,2023,FORD,MAVERICK,XLT,39980,Carbonized Gray Metallic,Navy Pier,All-wheel Drive,Gasoline,678,"809 S 5th St Louisville, KY 40203",2023-06-04,http://cars.com///vehicledetail/7ac3d090-ab06-4fe0-8434-45a2c290e971/,cars.com
221,USED,2023,FORD,MAVERICK,XLT,38980,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Hybrid,943,"809 S 5th St Louisville, KY 40203",2023-06-04,http://cars.com///vehicledetail/7d432e00-e4ca-4c54-99e6-d63b1dd464c8/,cars.com
222,USED,2023,FORD,MAVERICK,XLT,38980,Hot Pepper Red Metallic Tinted Clearcoat,Navy Pier,All-wheel Drive,Gasoline,745,"809 S 5th St Louisville, KY 40203",2023-06-04,http://cars.com///vehicledetail/e5c287db-248d-47a7-825a-939ec6c938c5/,cars.com
223,USED,2022,FORD,MAVERICK,XLT,37999,Gray,Black Onyx,Front-wheel Drive,Hybrid,3102,"50 Palomba Dr Enfield, CT 06082",2023-06-04,http://cars.com///vehicledetail/a85bc167-7764-41e1-a38e-8b8727657119/,cars.com
224,USED,2023,FORD,MAVERICK,XLT,35992,Area 51,Black Onyx,Front-wheel Drive,Gasoline,4712,"5244 Dixie Highway Louisville, KY 40216",2023-06-04,http://cars.com///vehicledetail/dcacb436-f44a-4efc-a044-d260f80825f8/,cars.com
225,USED,2022,FORD,MAVERICK,XL,28990,Velocity Blue Metallic,–,Front-wheel Drive,Hybrid,22936,"516 S Indiana Ave Sellersburg, IN 47172",2023-06-04,http://cars.com///vehicledetail/45feefa6-ec6b-41ef-95a6-ed5127acaad9/,cars.com
226,USED,2022,FORD,MAVERICK,LARIAT,34845,Cyber Orange Tricoat Metallic,Desert Brown,All-wheel Drive,Gasoline,10411,"76 Belinda Pkwy Mt Juliet, TN 37122",2023-06-04,http://cars.com///vehicledetail/93580db2-f52d-4979-8423-b0402b4b0749/,cars.com
227,USED,2022,FORD,MAVERICK,XLT,36550,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Hybrid,17466,"2500 Jordan Ln NW Huntsville, AL 35816",2023-06-04,http://cars.com///vehicledetail/d4f67b64-bc60-43b3-ab37-e8145b910fb9/,cars.com
228,USED,2023,FORD,MAVERICK,XL,34998,Gray,Black,All-wheel Drive,Gasoline,347,"6364 University Dr NW Huntsville, AL 35806",2023-06-04,http://cars.com///vehicledetail/700ca270-da3c-4783-aea0-67ebb2a998f2/,cars.com
229,USED,2022,FORD,MAVERICK,XLT,33123,Blue,Black Onyx,Front-wheel Drive,Gasoline,13213,"6591 Highway 72 West Huntsville, AL 35806",2023-06-04,http://cars.com///vehicledetail/03593bca-6e5a-494b-b307-daf67e5fbf85/,cars.com
230,USED,2022,FORD,MAVERICK,FOR,,Blue,Desert,All-wheel Drive,Gasoline,15931,"3505 Chester Blvd. Richmond, IN 47374",2023-06-04,http://cars.com///vehicledetail/8fe3c7c7-fb46-4a1f-9241-0a32b94f38f0/,cars.com
231,USED,2022,FORD,MAVERICK,XLT,34975,Iconic Silver Metallic,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,41504,"1938 Elm Hill Pike Nashville, TN 37210",2023-06-04,http://cars.com///vehicledetail/db281280-d2e2-4850-8530-4a83fdccf370/,cars.com
232,USED,2023,FORD,MAVERICK,XLT,37998,Gray,Gray,Front-wheel Drive,Gasoline,346,"2353 Gallatin Pike N Nashville, TN 37115",2023-06-04,http://cars.com///vehicledetail/06e910a6-1807-4beb-8136-5791c55ae114/,cars.com
233,USED,2022,FORD,MAVERICK,XL,31998,Orange,Navy Pier,Front-wheel Drive,Hybrid,26303,"3061 Transit Rd Elma, NY 14059",2023-06-04,http://cars.com///vehicledetail/9970a0ce-eb21-4c32-a8b9-2454edc186f7/,cars.com
234,USED,2022,FORD,MAVERICK,XLT,38450,Alto Blue Tinted Clearcoat Metallic,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,8982,"1638 Hughes Rd Madison, AL 35758",2023-06-04,http://cars.com///vehicledetail/95cd1ac3-4503-41b9-b4c7-56bb3e3aa7ee/,cars.com
235,USED,2023,FORD,MAVERICK,LARIAT,40652,Atlas Blue Metallic,Desert,All-wheel Drive,Gasoline,412,"5359 South US Highway 1 Fort Pierce, FL 34982",2023-06-04,http://cars.com///vehicledetail/0daed2fd-9d21-429f-bced-c437dce4d773/,cars.com
236,CERTIFIED,2022,FORD,MAVERICK,XLT,36745,Gray,Black Onyx,All-wheel Drive,Gasoline,10236,"1303 Perrysburg Rd Fostoria, OH 44830",2023-06-04,http://cars.com///vehicledetail/e89f821b-9caa-45de-be2f-dc9fb7c52b69/,cars.com
