,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
0,USED,2023,FORD,MAVERICK,XLT,38988,Hot Pepper Red Tinted Clearcoat,Navy Pier,Front-wheel Drive,Hybrid,20,"4328 Louisburg Rd Raleigh, NC 27604",2023-05-19,http://cars.com///vehicledetail/a9480f4c-2254-45a2-8897-01e97065a8d5/,cars.com
1,USED,2023,FORD,MAVERICK,LARIAT,40875,Oxford White,Desert,All-wheel Drive,Gasoline,42,"4900 Capital Blvd Raleigh, NC 27616",2023-05-19,http://cars.com///vehicledetail/14f4b02c-dd3b-48ef-8109-76b9a4cb3c0b/,cars.com
2,USED,2022,FORD,MAVERICK,XL,34091,Iconic Silver Metallic,Black Onyx,Front-wheel Drive,Hybrid,14911,"3940 Capital Hills Drive Raleigh, NC 27616",2023-05-19,http://cars.com///vehicledetail/7e510483-275e-43e7-888a-5df3ec961137/,cars.com
3,USED,2022,FORD,MAVERICK,XLT,36988,Area 51,Navy Pier,Front-wheel Drive,Hybrid,24123,"2350 Capital Summit Ct Raleigh, NC 27616",2023-05-19,http://cars.com///vehicledetail/af1b0ea9-ec06-46bd-8a7e-6166235ba7ab/,cars.com
4,USED,2022,FORD,MAVERICK,XLT,35497,Silver,Black Onyx,Front-wheel Drive,Gasoline,18425,"9820 Capital Blvd Wake Forest, NC 27587",2023-05-19,http://cars.com///vehicledetail/5ff372f4-b416-4320-9946-41b439ba524c/,cars.com
5,USED,2022,FORD,MAVERICK,XLT,35438,Area 51,Navy Pier,All-wheel Drive,Gasoline,2914,"11000 Capital Blvd Wake Forest, NC 27587",2023-05-19,http://cars.com///vehicledetail/30bf4838-5e2e-461b-b54d-b4d23d18edc7/,cars.com
6,USED,2022,FORD,MAVERICK,LARIAT,38989,Area 51,Desert,All-wheel Drive,Gasoline,8919,"109 Mackenan Blvd. Cary, NC 27511",2023-05-19,http://cars.com///vehicledetail/78362f7e-73bb-48d0-8715-690a6f5d8df5/,cars.com
7,USED,2023,FORD,MAVERICK,XL,35998,Silver,Gray,Front-wheel Drive,Hybrid,101,"3801 Bonney Rd Virginia Beach, VA 23452",2023-05-19,http://cars.com///vehicledetail/3de17eb8-c2a0-49af-9095-6c7450d15576/,cars.com
8,USED,2022,FORD,MAVERICK,LARIAT,34780,Blue,Desert,All-wheel Drive,Gasoline,38298,"2717 Virginia Beach Blvd Virginia Beach, VA 23452",2023-05-19,http://cars.com///vehicledetail/c270f88c-0910-4f33-ba85-a0d4d796e180/,cars.com
9,USED,2023,FORD,MAVERICK,XLT,36905,Area 51,Navy Pier,Front-wheel Drive,Hybrid,167,"3990 W Highway 501 Conway, SC 29526",2023-05-19,http://cars.com///vehicledetail/a709c00e-71dc-4e9a-857c-bb4203358b0b/,cars.com
10,USED,2023,FORD,MAVERICK,XLT,37773,Gray,Black Onyx,Front-wheel Drive,Hybrid,77,"105 Auto Park Dr Graham, NC 27253",2023-05-19,http://cars.com///vehicledetail/6efb493d-3bd4-4c9f-b5e5-23408b26c318/,cars.com
