,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
649,CERTIFIED,2022,FORD,MAVERICK,XLT,39975,OXFORD WHITE,NAVY PIER -MED SLATE TRIM,–,–,15909,"78990 Varner Rd Indio, CA 92203",2023-05-17,http://cars.com///vehicledetail/72666023-29fb-4dc7-a6eb-721572a87b91/,cars.com
650,CERTIFIED,2022,FORD,MAVERICK,6N,40875,ALTO BLUE METALLIC TC,DESERT BROWN TRIM,–,–,18525,"78990 Varner Rd Indio, CA 92203",2023-05-17,http://cars.com///vehicledetail/0706fecd-da37-46ed-bc12-0a2b92e00739/,cars.com
651,CERTIFIED,2022,FORD,MAVERICK,XLT,43950,VELOCITY BLUE METALLIC,NAVY PIER -MED SLATE TRIM,–,–,12884,"78990 Varner Rd Indio, CA 92203",2023-05-17,http://cars.com///vehicledetail/fbf717a9-6b73-46c9-ae26-f0658a4d8af5/,cars.com
652,USED,2022,FORD,MAVERICK,XL,33500,Velocity Blue Metallic,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,1112,"57909 Twentynine Palms Highway Yucca Valley, CA 92284",2023-05-17,http://cars.com///vehicledetail/4aa76e11-ac1e-416f-b0ea-3ec2a557e6fe/,cars.com
653,USED,2022,FORD,MAVERICK,XLT,35989,Blue,–,All-wheel Drive,Gasoline,10246,"8300 E Sprague Ave Spokane Valley, WA 99212",2023-05-17,http://cars.com///vehicledetail/934d5690-2e49-4c6b-9866-35bc01dcb4b3/,cars.com
654,USED,2023,FORD,MAVERICK,XLT,31999,Gray,Gray,Front-wheel Drive,8-Speed A/T,4000,"Salvador  from Murrieta, CA 92563",2023-05-17,http://cars.com///vehicledetail/a338ce79-716b-4737-aea1-4366eb421c2e/,cars.com
655,USED,2023,FORD,MAVERICK,LARIAT,39998,Gray,Brown,All-wheel Drive,Gasoline,560,"25560 Madison Ave Murrieta, CA 92562",2023-05-17,http://cars.com///vehicledetail/e922bd88-b194-4f9a-b7db-cf8f2f25b540/,cars.com
656,USED,2022,FORD,MAVERICK,XL,33998,White,Black,FWD,Hybrid,10665,"25560 Madison Ave Murrieta, CA 92562",2023-05-17,http://cars.com///vehicledetail/43a68d8e-92ec-46e0-80d6-17827c732083/,cars.com
657,USED,2022,FORD,MAVERICK,XL,33998,Gray,Black,Front-wheel Drive,Hybrid,7187,"830 Dan Way Escondido, CA 92025",2023-05-17,http://cars.com///vehicledetail/797ff8fa-67dc-4015-9f9a-2935727a2d9c/,cars.com
658,USED,2022,FORD,MAVERICK,XLT,31495,Blue,Blue,Front-wheel Drive,CVT Transmission,24579,"VICTOR from Chula Vista, CA 91915",2023-05-17,http://cars.com///vehicledetail/d6045cd8-35c1-4cb0-83d4-774393bda006/,cars.com
659,USED,2022,FORD,MAVERICK,XL,33988,Oxford White,Black Onyx,Front-wheel Drive,Hybrid,9345,"1695 Auto Park Way Escondido, CA 92029",2023-05-17,http://cars.com///vehicledetail/ae02df47-b3d8-4f1e-9493-03eb3fa92b71/,cars.com
660,USED,2022,FORD,MAVERICK,XLT,35995,Gray,Black Onyx,All-wheel Drive,Gasoline,2595,"16416 Valley Blvd Fontana, CA 92335",2023-05-17,http://cars.com///vehicledetail/0fa1b4d0-25b7-45b9-8272-00a37e331bdd/,cars.com
661,USED,2022,FORD,MAVERICK,XLT,37495,Cactus,Navy Pier,Front-wheel Drive,Hybrid,2790,"16416 Valley Blvd Fontana, CA 92335",2023-05-17,http://cars.com///vehicledetail/81d8c8a9-15d1-45b1-8b12-b23d554d425f/,cars.com
662,USED,2022,FORD,MAVERICK,XLT,37495,Shadow Black,Navy Pier,Front-wheel Drive,Hybrid,4351,"16416 Valley Blvd Fontana, CA 92335",2023-05-17,http://cars.com///vehicledetail/48dd0602-c781-4627-8333-277717b92c5f/,cars.com
663,USED,2023,FORD,MAVERICK,XLT,37995,White,Navy Pier,Front-wheel Drive,Hybrid,595,"16416 Valley Blvd Fontana, CA 92335",2023-05-17,http://cars.com///vehicledetail/107cda07-0243-4fa8-b44d-9123a8de500a/,cars.com
664,USED,2023,FORD,MAVERICK,LARIAT,,Silver,–,FWD,Hybrid,496,"1875 Auto Park Place Chula Vista, CA 91911",2023-05-17,http://cars.com///vehicledetail/da0024bb-856b-404c-908d-befeacaa7167/,cars.com
665,USED,2023,FORD,MAVERICK,XLT,36998,Blue,Gray,Front-wheel Drive,Gasoline,611,"7766 Balboa Ave San Diego, CA 92111",2023-05-17,http://cars.com///vehicledetail/645ce00b-0a22-463f-a52e-0a46c332804f/,cars.com
