,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
15620,USED,2023,FORD,MAVERICK,XLT,36000,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Gasoline,4059,"4901 S I-35 E Denton, TX 76210",2023-06-08,http://cars.com///vehicledetail/fa4562f9-319a-44b3-87a8-8ab7a787b0c5/,cars.com
15621,USED,2022,FORD,MAVERICK,XLT,33599,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Gasoline,7176,"1600 E. State Hwy 114 Grapevine, TX 76051",2023-06-08,http://cars.com///vehicledetail/46ec8290-f282-4bea-9885-311ae51a413f/,cars.com
15622,USED,2022,FORD,MAVERICK,XLT,34499,Shadow Black,Black Onyx,All-wheel Drive,Gasoline,6215,"1500 E State Hwy 114 Grapevine, TX 76051",2023-06-08,http://cars.com///vehicledetail/cd5efffc-ca5a-4ad3-aeb8-106e8abf0ba7/,cars.com
15623,USED,2023,FORD,MAVERICK,XLT,34000,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Hybrid,768,"801 East Highway 114 Grapevine, TX 76051",2023-06-08,http://cars.com///vehicledetail/75098f59-482c-402d-89ef-88db0b9231ad/,cars.com
15624,USED,2023,FORD,MAVERICK,XLT,36000,Hot Pepper Red Metallic Tinted Clearcoat,Navy Pier,Front-wheel Drive,Gasoline,732,"801 East Highway 114 Grapevine, TX 76051",2023-06-08,http://cars.com///vehicledetail/4d01bbeb-e7cb-4b27-ae00-1c01bce110ba/,cars.com
15625,USED,2023,FORD,MAVERICK,XL,33000,Atlas Blue Metallic,Black Onyx,Front-wheel Drive,Hybrid,3452,"801 East Highway 114 Grapevine, TX 76051",2023-06-08,http://cars.com///vehicledetail/2fd6e3b5-194c-43f2-8971-5f8ac46b61e2/,cars.com
15626,USED,2023,FORD,MAVERICK,LARIAT,43900,Cyber Orange Metallic Tricoat,Desert Brown,Front-wheel Drive,Gasoline,152,"27225 Southwest Freeway Rosenberg, TX 77471",2023-06-08,http://cars.com///vehicledetail/015f6394-0e7a-4103-87cc-aa6726f64e0c/,cars.com
15627,USED,2023,FORD,MAVERICK,LARIAT,40995,Cactus Green / Gray,Desert,All-wheel Drive,Gasoline,3369,"2301 William D Tate Ave Grapevine, TX 76051",2023-06-08,http://cars.com///vehicledetail/d89eac84-7d27-49cb-a046-98e61c46ec3d/,cars.com
15628,USED,2022,FORD,MAVERICK,XL,32784,Gray,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,8183,"1601 Green Avenue Orange, TX 77630",2023-06-08,http://cars.com///vehicledetail/7e9275d6-57dd-4402-9e2d-6dac9506d0d1/,cars.com
15629,USED,2023,FORD,MAVERICK,XLT,36741,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,1563,"19723 I-30 Benton, AR 72015",2023-06-08,http://cars.com///vehicledetail/b66268a7-0f72-40cc-8e06-fab88ceed029/,cars.com
15630,CERTIFIED,2022,FORD,MAVERICK,XLT,35800,OXFORD WHITE,NAVY PIER -MED SLATE TRIM,–,–,5460,"203 W Main St Stigler, OK 74462",2023-06-08,http://cars.com///vehicledetail/efff3c76-4627-47ec-a074-7a881433c063/,cars.com
15631,USED,2022,FORD,MAVERICK,XLT,37070,Area 51,Navy Pier,All-wheel Drive,Gasoline,13144,"1045 E Chicago St Elgin, IL 60120",2023-06-08,http://cars.com///vehicledetail/66a5c4b4-28b0-458c-aed3-f8e8f9497fae/,cars.com
15632,USED,2022,FORD,MAVERICK,XL,33000,Velocity Blue Metallic,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,20984,"219 Woodgate Drive South Brandon, MS 39042",2023-06-08,http://cars.com///vehicledetail/5384b2b3-0e03-4df8-9648-17b575bb739d/,cars.com
15633,USED,2022,FORD,MAVERICK,XLT,37995,Area 51,Navy Pier,Front-wheel Drive,Gasoline,2160,"1301 US 49 Paragould, AR 72450",2023-06-08,http://cars.com///vehicledetail/f740762a-254b-4c61-8df8-ed59672db952/,cars.com
15634,USED,2023,FORD,MAVERICK,LARIAT,38998,White,Brown,All-wheel Drive,Gasoline,673,"19010 E Valley View Pkwy Independence, MO 64055",2023-06-08,http://cars.com///vehicledetail/8922875a-959a-48fa-893b-74c45e55f7d1/,cars.com
15635,USED,2022,FORD,MAVERICK,LARIAT,39999,Area 51,Desert Brown,All-wheel Drive,Gasoline,7549,"1201 West Hwy 61 Winona, MN 55987",2023-06-08,http://cars.com///vehicledetail/4967ef80-b3b7-4d8b-9121-e2f160888b3c/,cars.com
15636,USED,2022,FORD,MAVERICK,XLT,36990,Oxford White,Navy Pier,Front-wheel Drive,Gasoline,67,"2406 N Jefferson Way Indianola, IA 50125",2023-06-08,http://cars.com///vehicledetail/78df39ec-84c1-4adf-8f5d-845d87014b49/,cars.com
15637,USED,2022,FORD,MAVERICK,XLT,36990,Oxford White,Navy Pier,Front-wheel Drive,Gasoline,62,"2406 N Jefferson Way Indianola, IA 50125",2023-06-08,http://cars.com///vehicledetail/01083658-c355-47ed-9f89-04a983067978/,cars.com
15638,USED,2023,FORD,MAVERICK,LARIAT,46591,White,Black,All-wheel Drive,Gasoline,931,"7576 US-51 Minocqua, WI 54548",2023-06-08,http://cars.com///vehicledetail/f62629f0-9040-4507-9034-c7d160bdab48/,cars.com
