,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed
48,USED,2022,FORD,MAVERICK,LARIAT,38678,Iconic Silver Metallic,Desert,Front-wheel Drive,Hybrid,20609,"11165 Fairfax Blvd Fairfax, VA 22030",2023-05-11
49,CERTIFIED,2022,FORD,MAVERICK,LARIAT,39988,Blue,Desert,All-wheel Drive,Gasoline,9880,"409 East 2nd Street West Jefferson, NC 28694",2023-05-11
50,USED,2022,FORD,MAVERICK,XL,33995,Oxford White,Black Onyx,All-wheel Drive,Gasoline,15521,"4175 Auto Park Cir Chantilly, VA 20151",2023-05-11
51,USED,2022,FORD,MAVERICK,LARIAT,37824,Cactus Grey,Desert Brown,All-wheel Drive,Gasoline,17416,"1001 Jamestown Rd Morganton, NC 28655",2023-05-11
52,USED,2022,FORD,MAVERICK,XLT,37781,Velocity Blue Metallic,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,1635,"1001 Jamestown Rd Morganton, NC 28655",2023-05-11
53,USED,2022,FORD,MAVERICK,XLT,36000,Blue,Navy Pier,Front-wheel Drive,Hybrid,10926,"8610 Leesburg Pike Vienna, VA 22182",2023-05-11
54,USED,2022,FORD,MAVERICK,XL,32998,White,Black,All-wheel Drive,Gasoline,4396,"45210 Towlern Pl Sterling, VA 20165",2023-05-11
55,USED,2023,FORD,MAVERICK,LARIAT,43998,Gray,Brown,Front-wheel Drive,Hybrid,1986,"45210 Towlern Pl Sterling, VA 20165",2023-05-11
56,USED,2022,FORD,MAVERICK,XL,31998,Black,Black,All-wheel Drive,Gasoline,8841,"45210 Towlern Pl Sterling, VA 20165",2023-05-11
57,USED,2023,FORD,MAVERICK,XL,36998,Blue,Black,Front-wheel Drive,Hybrid,70,"45210 Towlern Pl Sterling, VA 20165",2023-05-11
58,USED,2023,FORD,MAVERICK,XLT,37000,Atlas Blue Metallic,Navy Pier,Front-wheel Drive,Hybrid,422,"46869 Harry Byrd Hwy Sterling, VA 20164",2023-05-11
59,USED,2022,FORD,MAVERICK,LARIAT,36699,Cactus Green / Gray,Desert,All-wheel Drive,Gasoline,39800,"21736 Auto World Circle Sterling, VA 20166",2023-05-11
60,USED,2022,FORD,MAVERICK,XL,30998,Black,Black,Front-wheel Drive,Gasoline,8037,"8901 Executive Center Rd Ellicott City, MD 21043",2023-05-11
61,USED,2022,FORD,MAVERICK,LARIAT,38000,Orange,Desert,All-wheel Drive,Gasoline,14924,"6970 Security Blvd Windsor Mill, MD 21244",2023-05-11
62,USED,2022,FORD,MAVERICK,XLT,35000,Carbonized Gray Metallic,Navy Pier,All-wheel Drive,Gasoline,22491,"10207 Philadelphia Rd White Marsh, MD 21162",2023-05-11
63,USED,2023,FORD,MAVERICK,XLT,38998,Gray,Gray,FWD,Hybrid,603,"10201 Philadelphia Rd White Marsh, MD 21162",2023-05-11
64,USED,2022,FORD,MAVERICK,LARIAT,37999,Chili Pepper Red,Desert,Front-wheel Drive,Gasoline,15316,"525 Stone Harbor Blvd Cape May Court House, NJ 08210",2023-05-11
65,USED,2023,FORD,MAVERICK,XL,34395,Area 51,Black Onyx,Front-wheel Drive,Hybrid,61,"1551 W Old Liberty Rd Sykesville, MD 21784",2023-05-11
66,USED,2023,FORD,MAVERICK,LARIAT,46828,Black,Desert,All-wheel Drive,Gasoline,18,"3192 West State Street Bristol, TN 37620",2023-05-11
67,USED,2022,FORD,MAVERICK,XLT,35399,Shadow Black,Navy Pier,AWD,Gasoline,15604,"3700 Bristol Hwy Johnson City, TN 37601",2023-05-11
68,USED,2022,FORD,MAVERICK,XLT,37888,Velocity Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,13350,"7334 US-280 Claxton, GA 30417",2023-05-11
69,USED,2022,FORD,MAVERICK,LARIAT,37895,Area 51,Desert,Front-wheel Drive,Hybrid,15319,"2601 E Lincoln Hwy Coatesville, PA 19320",2023-05-11
70,USED,2022,FORD,MAVERICK,LARIAT,41995,Shadow Black,Desert,All-wheel Drive,Gasoline,5990,"50 Baltimore Pike Springfield, PA 19064",2023-05-11
71,USED,2022,FORD,MAVERICK,XLT,33495,Blue,–,Front-wheel Drive,Hybrid,13667,"250 Haddonfield-Berlin Rd Cherry Hill, NJ 08034",2023-05-11
72,CERTIFIED,2022,FORD,MAVERICK,XLT,36875,ALTO BLUE METALLIC TC,NAVY PIER -MED SLATE TRIM,–,–,23812,"415 W Lincoln Hwy Exton, PA 19341",2023-05-11
73,USED,2023,FORD,MAVERICK,XLT,36500,Oxford White,Black Onyx,Front-wheel Drive,Hybrid,3225,"700 N US Route 15 Dillsburg, PA 17019",2023-05-11
74,USED,2023,FORD,MAVERICK,XL,33000,Carbonized Gray Metallic,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,106,"700 N US Route 15 Dillsburg, PA 17019",2023-05-11
75,USED,2022,FORD,MAVERICK,XLT,36000,Area 51,Navy Pier,Front-wheel Drive,Hybrid,7197,"700 N US Route 15 Dillsburg, PA 17019",2023-05-11
76,USED,2022,FORD,MAVERICK,LARIAT,35500,Cyber Orange Tricoat Metallic,Desert Brown,Front-wheel Drive,Gasoline,22501,"700 N US Route 15 Dillsburg, PA 17019",2023-05-11
77,USED,2023,FORD,MAVERICK,XLT,35000,Carbonized Gray Metallic,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,1684,"700 N US Route 15 Dillsburg, PA 17019",2023-05-11
78,USED,2022,FORD,MAVERICK,XL,31000,Shadow Black,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,15049,"700 N US Route 15 Dillsburg, PA 17019",2023-05-11
79,USED,2022,FORD,MAVERICK,XLT,34000,Oxford White,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,14947,"700 N US Route 15 Dillsburg, PA 17019",2023-05-11
80,USED,2022,FORD,MAVERICK,XLT,35000,Iconic Silver Metallic,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,5670,"700 N US Route 15 Dillsburg, PA 17019",2023-05-11
81,USED,2022,FORD,MAVERICK,LARIAT,36000,Carbonized Grey Metallic,Desert Brown,Front-wheel Drive,Gasoline,7518,"700 N US Route 15 Dillsburg, PA 17019",2023-05-11
82,USED,2022,FORD,MAVERICK,XLT,34500,Area 51,Navy Pier,Front-wheel Drive,Hybrid,4757,"2231 White Hall Blvd White Hall, WV 26554",2023-05-11
83,USED,2022,FORD,MAVERICK,XL,32509,Blue,Black Onyx,Front-wheel Drive,Gasoline,3783,"508 W Main St New Holland, PA 17557",2023-05-11
84,USED,2022,FORD,MAVERICK,XLT,35499,Carbonized Gray,–,All-wheel Drive,Gasoline,20544,"21 Pottstown Pike Chester Springs, PA 19425",2023-05-11
85,USED,2022,FORD,MAVERICK,XLT,38843,Blue,Navy Pier,All-wheel Drive,Gasoline,1001,"730 S Broad Street Lititz, PA 17543",2023-05-11
86,USED,2023,FORD,MAVERICK,XLT,38574,Hot Pepper Red Metallic Tinted Clearcoat,Navy Pier,Front-wheel Drive,Hybrid,328,"730 S Broad Street Lititz, PA 17543",2023-05-11
87,USED,2023,FORD,MAVERICK,XLT,39995,Atlas Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,2323,"730 S Broad Street Lititz, PA 17543",2023-05-11
88,USED,2023,FORD,MAVERICK,XL,35332,Area 51,Black Onyx,Front-wheel Drive,Hybrid,176,"730 S Broad Street Lititz, PA 17543",2023-05-11
89,USED,2023,FORD,MAVERICK,XLT,38495,Gray,Navy Pier,Front-wheel Drive,Hybrid,34,"730 S Broad Street Lititz, PA 17543",2023-05-11
90,USED,2022,FORD,MAVERICK,XLT,35598,Gray,Black Onyx,All-wheel Drive,Gasoline,9593,"121 Altama Connector Brunswick, GA 31525",2023-05-11
91,USED,2022,FORD,MAVERICK,XLT,35545,Gray,Navy Pier,Front-wheel Drive,Hybrid,11554,"6115 Carlisle Pike Mechanicsburg, PA 17050",2023-05-11
92,USED,2022,FORD,MAVERICK,XLT,35706,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,18431,"6115 Carlisle Pike Mechanicsburg, PA 17050",2023-05-11
93,USED,2022,FORD,MAVERICK,XLT,30998,Red Metallic,Black Onyx,Front-wheel Drive,Gasoline,22283,"2008 Paxton St Harrisburg, PA 17111",2023-05-11
94,USED,2022,FORD,MAVERICK,XL,30998,Velocity Blue,Black Onyx,All-wheel Drive,Gasoline,27261,"3072 N Reading Rd Adamstown, PA 19501",2023-05-11
95,USED,2022,FORD,MAVERICK,XLT,33399,Orange,Gray,All-wheel Drive,Gasoline,32584,"1971 Burlington-Mount Holly Rd Mount Holly, NJ 08060",2023-05-11
96,USED,2022,FORD,MAVERICK,XLT,38993,Blue,Navy Pier,Front-wheel Drive,Hybrid,20389,"1030 Schaeffer Road Lebanon, PA 17042",2023-05-11
97,USED,2022,FORD,MAVERICK,XLT,34991,Area 51,Navy Pier,Front-wheel Drive,Gasoline,77,"40 US Rte 130 Burlington, NJ 08016",2023-05-11
98,USED,2022,FORD,MAVERICK,XLT,35206,Oxford White,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,7317,"218 Lincoln Highway Fairless Hills, PA 19030",2023-05-11
99,USED,2022,FORD,MAVERICK,XL,33968,Blue,Black Onyx,All-wheel Drive,Gasoline,7133,"1633 Golden Isles Pkwy Baxley, GA 31513",2023-05-11
100,USED,2022,FORD,MAVERICK,XLT,33500,Oxford White,Navy Pier,Front-wheel Drive,Hybrid,27931,"2818 N Columbia St Milledgeville, GA 31061",2023-05-11
101,USED,2022,FORD,MAVERICK,XLT,38999,Blue,–,Front-wheel Drive,A/T,4000,"Matthew from Sellersville, PA 18960",2023-05-11
102,USED,2022,FORD,MAVERICK,LARIAT,38995,Black,Desert,Front-wheel Drive,Hybrid,22765,"607 Highway 33 Hamilton, NJ 08619",2023-05-11
103,USED,2022,FORD,MAVERICK,XL,32588,Gray,Black Onyx,All-wheel Drive,Gasoline,11528,"1088 Ocean Ave Lakewood, NJ 08701",2023-05-11
104,USED,2022,FORD,MAVERICK,XL,29995,Blue,Gray,Front-wheel Drive,Gasoline,1090,"101 Main St Johnstown, PA 15901",2023-05-11
105,USED,2023,FORD,MAVERICK,LARIAT,51825,Cactus Green / Gray,Black Onyx,All-wheel Drive,Gasoline,129,"2030 GA-40 Kingsland, GA 31548",2023-05-11
106,CERTIFIED,2022,FORD,MAVERICK,XLT,43582,Cactus,Navy Pier,All-wheel Drive,Gasoline,3881,"2030 GA-40 Kingsland, GA 31548",2023-05-11
107,CERTIFIED,2022,FORD,MAVERICK,XL,32975,CARBONIZED GREY METALLIC,BLACK ONYX-MED DK SLATE TRI,–,–,8914,"100 Harper Dr Belle Vernon, PA 15012",2023-05-11
108,USED,2022,FORD,MAVERICK,LARIAT,40654,Orange,Desert,All-wheel Drive,Gasoline,5377,"464037 East State Rd. Ste 200 Yulee, FL 32097",2023-05-11
109,USED,2022,FORD,MAVERICK,XLT,34995,Blue,Black Onyx,Front-wheel Drive,Hybrid,23387,"11317 U.S. 30 Irwin, PA 15642",2023-05-11
